customer_id,fisrt_name,second_name,gender,date_of_birth,city,state,occupation,customer_segment,annual_income,join_date
CUST00018,Rachel,Walker,Female,5/28/2004,San Francisco,California,Doctor,Premium,133778,5/27/2022
CUST00019,Rachel,Rivera,Female,3/25/2008,Los Angeles,California,Student,Retail,13175,10/6/2020
CUST00020,Samuel,Martinez,Male,11/12/1966,Los Angeles,California,Chef,Retail,81463,7/31/2021
CUST00021,Brian,Davis,Male,4/16/1983,Cape Town,Western Cape,Student,Retail,2374,8/26/2023
CUST00022,Helen,Campbell,Female,9/1/1994,Mexico City,CDMX,Doctor,Premium,137893,12/28/2022
CUST00023,Maria,Miller,Female,3/28/1981,Bogota,Bogota,Electrician,Retail,51570,7/13/2023
CUST00024,Debra,Scott,Female,1/3/1972,Santiago,Santiago Metropolitan,Bank Teller,Retail,87997,9/18/2018
CUST00025,Linda,Davis,Female,4/7/1966,Vancouver,British Columbia,Electrician,Retail,76467,4/22/2018
CUST00026,Steven,Davis,Male,9/16/1963,London,England,Customer Support,Retail,84454,5/26/2023
CUST00027,Sarah,Clark,Female,9/28/1979,Vancouver,British Columbia,Data Analyst,Premium,175860,9/1/2025
CUST00028,Anna,Williams,Female,12/30/1985,San Francisco,California,Nurse,Retail,59121,8/18/2020
CUST00029,Charles,Lopez,Male,2/9/2005,Montreal,Quebec,Business Analyst,Premium,129308,10/20/2020
CUST00030,James,Adams,Male,2/21/1988,Beijing,Beijing,Financial Analyst,Premium,156858,1/3/2025
CUST00031,Eric,Gonzalez,Male,4/18/1993,Miami,Florida,Teacher,Retail,65941,6/8/2020
CUST00032,Christine,Anderson,Female,2/13/1982,Houston,Texas,Customer Support,Retail,56469,2/1/2023
CUST00033,Gary,Adams,Male,2/5/1982,Mumbai,Maharashtra,Entrepreneur,SME,157416,12/16/2023
CUST00034,Nancy,Campbell,Female,4/2/1986,Lagos,Lagos,Data Analyst,Premium,130743,6/12/2026
CUST00035,Mark,Lopez,Male,4/21/1989,Delhi,Delhi,Project Manager,Premium,129151,8/11/2021
CUST00036,Jerry,Baker,Male,12/13/1973,Dubai,Dubai,HR Specialist,Retail,43107,6/23/2026
CUST00037,Gregory,Johnson,Male,12/28/1964,San Francisco,California,Pharmacist,Premium,213465,10/17/2023
CUST00038,Debra,Gonzalez,Female,4/17/1968,Beijing,Beijing,Business Analyst,Premium,151170,4/7/2025
CUST00039,Barbara,Flores,Female,8/8/1979,Los Angeles,California,Data Analyst,Premium,179392,6/16/2022
CUST00040,Carol,Scott,Female,1/31/1981,Miami,Florida,Chef,Retail,61873,12/3/2022
CUST00041,Donna,Moore,Female,6/15/1998,New York,New York,Administrative Assistant,Retail,84074,7/2/2023
CUST00042,Nicholas,Walker,Male,4/23/2002,Seattle,Washington,Doctor,Premium,218656,11/15/2019
CUST00043,Ronald,Torres,Male,7/26/1996,Mexico City,CDMX,Doctor,Premium,284470,11/26/2022
CUST00044,Melissa,Lopez,Female,7/24/1965,Tokyo,Tokyo,Customer Support,Retail,38972,1/11/2024
CUST00045,Deborah,Thomas,Female,10/6/1963,Paris,Ile-de-France,Operations Manager,Premium,170142,5/13/2020
CUST00046,Thomas,Campbell,Male,5/16/2001,Los Angeles,California,Business Analyst,Premium,112437,1/21/2026
CUST00047,Helen,Miller,Female,3/9/1993,Auckland,Auckland,Marketing Specialist,Retail,51874,7/4/2019
CUST00048,Alexander,Anderson,Male,10/8/1996,Melbourne,Victoria,Business Analyst,Premium,160369,2/13/2025
CUST00049,Susan,Young,Female,2/24/2002,Abu Dhabi,Abu Dhabi,Doctor,Premium,166440,3/9/2025
CUST00050,Linda,Miller,Female,7/18/1985,San Francisco,California,Nurse,Retail,32053,7/6/2023
CUST00051,Amanda,Nguyen,Female,9/2/2007,Lima,Lima,Consultant,SME,189404,10/6/2020
CUST00052,Linda,Thomas,Female,8/11/2002,Atlanta,Georgia,Doctor,Premium,175773,8/15/2023
CUST00053,Rachel,King,Female,7/5/2000,Amsterdam,North Holland,Researcher,Retail,70428,7/7/2019
CUST00054,Carolyn,Wright,Female,7/7/1980,Bangkok,Bangkok,Software Engineer,Premium,80523,2/20/2022
CUST00055,Sharon,Martin,Female,9/16/1991,Miami,Florida,Accountant,Retail,51809,6/19/2026
CUST00056,Janet,Allen,Female,5/5/1981,Rio de Janeiro,Rio de Janeiro,Bank Teller,Retail,58746,3/29/2026
CUST00057,Barbara,Hall,Female,5/19/1988,Montreal,Quebec,Business Analyst,Premium,162931,12/19/2023
CUST00058,Ronald,Nelson,Male,12/13/1995,Miami,Florida,Financial Analyst,Premium,173105,6/27/2019
CUST00059,Brenda,Wilson,Female,5/30/1961,Santiago,Santiago Metropolitan,Operations Manager,Premium,121773,11/19/2025
CUST00060,Eric,Carter,Male,2/12/1975,Amsterdam,North Holland,Accountant,Retail,69712,2/4/2024
CUST00061,Samantha,Moore,Female,8/26/1998,Buenos Aires,Buenos Aires,HR Specialist,Retail,42240,6/3/2023
CUST00062,Matthew,Roberts,Male,10/13/2007,Jakarta,Jakarta,Retail Manager,Retail,62161,9/26/2025
CUST00063,Cynthia,King,Female,7/24/1962,Seattle,Washington,Administrative Assistant,Retail,30323,4/20/2024
CUST00064,Laura,Davis,Female,7/22/1992,Abu Dhabi,Abu Dhabi,Business Analyst,Premium,168709,11/27/2023
CUST00065,Thomas,Carter,Male,6/15/1979,Shanghai,Shanghai,Lawyer,Premium,313821,8/13/2018
CUST00066,Thomas,Harris,Male,6/3/2006,Beijing,Beijing,Architect,Premium,139438,9/26/2019
CUST00067,Kathleen,Walker,Female,6/20/1974,Seoul,Seoul,Operations Manager,Premium,156071,12/18/2024
CUST00068,Tyler,Martin,Male,3/27/1984,Istanbul,Istanbul,Nurse,Retail,81001,7/11/2021
CUST00069,Brenda,Brown,Female,2/29/1976,San Francisco,California,Marketing Specialist,Retail,78959,11/13/2022
CUST00070,Scott,Rivera,Male,1/25/1978,Jakarta,Jakarta,Researcher,Retail,38371,5/3/2019
CUST00071,Stephen,Roberts,Male,12/4/1980,Istanbul,Istanbul,Researcher,Retail,57018,4/17/2021
CUST00072,Shirley,Wright,Female,6/1/1986,Auckland,Auckland,Financial Analyst,Premium,85261,2/5/2018
CUST00073,Stephen,Mitchell,Male,5/19/1957,Buenos Aires,Buenos Aires,Bank Teller,Retail,78744,5/5/2023
CUST00074,David,Robinson,Male,6/28/1983,Moscow,Moscow,Business Analyst,Premium,112128,5/14/2022
CUST00075,Nicholas,Baker,Male,2/8/1986,Chicago,Illinois,Doctor,Premium,212830,3/30/2026
CUST00076,Lisa,Nelson,Female,9/10/1990,Osaka,Osaka,Project Manager,Premium,161186,7/9/2024
CUST00077,Joseph,Martinez,Male,9/30/2007,Santiago,Santiago Metropolitan,Financial Analyst,Premium,105599,6/1/2023
CUST00078,Larry,King,Male,9/4/1970,San Francisco,California,Electrician,Retail,60545,1/16/2022
CUST00079,Elizabeth,Walker,Female,12/28/1997,Bangkok,Bangkok,Doctor,Premium,242689,5/25/2021
CUST00080,Andrew,Hernandez,Male,7/9/1968,Cape Town,Western Cape,Lawyer,Premium,176386,3/19/2023
CUST00081,Sophia,Harris,Female,11/18/1993,Los Angeles,California,Architect,Premium,147623,7/26/2024
CUST00082,Jessica,Hill,Female,5/13/1983,Delhi,Delhi,Software Engineer,Premium,119602,6/8/2025
CUST00083,Brian,White,Male,1/24/1997,Delhi,Delhi,Chef,Retail,74257,3/19/2018
CUST00084,Angela,Green,Female,4/24/1983,Manila,Metro Manila,Data Analyst,Premium,109641,7/15/2019
CUST00085,Paul,Wilson,Male,11/22/1958,Delhi,Delhi,Chef,Retail,66779,6/11/2026
CUST00086,Daniel,Johnson,Male,10/24/1958,Shanghai,Shanghai,Doctor,Premium,168920,5/20/2018
CUST00087,Frank,Scott,Male,7/3/1964,Melbourne,Victoria,Civil Engineer,Premium,116571,2/22/2018
CUST00088,Justin,Perez,Male,5/22/1960,Tokyo,Tokyo,Doctor,Premium,315310,7/13/2018
CUST00089,Jason,Lopez,Male,4/22/1973,Rio de Janeiro,Rio de Janeiro,Sales Associate,Retail,40422,12/1/2021
CUST00090,Larry,Sanchez,Male,12/2/1960,Delhi,Delhi,Civil Engineer,Premium,93953,8/6/2018
CUST00091,Deborah,Williams,Female,1/6/2001,Delhi,Delhi,HR Specialist,Retail,71126,6/27/2018
CUST00092,Mark,Nelson,Male,9/27/2004,Johannesburg,Gauteng,Project Manager,Premium,125044,6/2/2022
CUST00093,Jerry,Harris,Male,1/17/1984,Dublin,Leinster,Operations Manager,Premium,140896,3/8/2024
CUST00094,Sandra,Hernandez,Female,11/24/1963,Istanbul,Istanbul,Electrician,Retail,84802,6/19/2025
CUST00095,John,Wright,Male,9/10/1986,Madrid,Madrid,Business Analyst,Premium,127989,11/26/2020
CUST00096,Anna,Scott,Female,5/22/1983,Cape Town,Western Cape,Electrician,Retail,40511,3/16/2019
CUST00097,Jacob,Jones,Male,2/16/1965,Los Angeles,California,Project Manager,Premium,161738,9/28/2018
CUST00098,Richard,Mitchell,Male,5/10/2007,Johannesburg,Gauteng,Project Manager,Premium,162042,10/15/2024
CUST00099,David,Lee,Male,5/30/2003,Sao Paulo,Sao Paulo,Financial Analyst,Premium,143302,1/28/2023
CUST00100,Sandra,Brown,Female,3/27/1956,Vancouver,British Columbia,Mechanic,Retail,60835,9/27/2023
CUST00101,Carolyn,Jones,Female,7/1/1990,New York,New York,Nurse,Retail,68055,6/16/2022
CUST00102,Charles,Anderson,Male,9/27/1959,Jakarta,Jakarta,Nurse,Retail,72637,1/14/2025
CUST00103,Timothy,Robinson,Male,3/31/1959,Sao Paulo,Sao Paulo,Retail Manager,Retail,37577,11/21/2022
CUST00104,George,Allen,Male,10/5/1972,Rio de Janeiro,Rio de Janeiro,Marketing Specialist,Retail,59830,5/19/2019
CUST00105,Jennifer,Brown,Female,3/23/1982,Buenos Aires,Buenos Aires,Accountant,Retail,50409,10/12/2023
CUST00106,Kenneth,Flores,Male,4/29/1960,San Francisco,California,Doctor,Premium,208532,4/21/2021
CUST00107,Patricia,Hernandez,Female,11/25/1975,Los Angeles,California,Administrative Assistant,Retail,66358,1/19/2020
CUST00108,Emma,Harris,Female,12/21/1959,Atlanta,Georgia,Nurse,Retail,49094,5/12/2025
CUST00109,Nicholas,Wilson,Male,6/11/1979,Manila,Metro Manila,Project Manager,Premium,127930,7/12/2022
CUST00110,Dennis,Thomas,Male,3/26/1978,Shanghai,Shanghai,Graphic Designer,Retail,28204,5/24/2023
CUST00111,Jacob,Smith,Male,9/8/1966,Rome,Lazio,Customer Support,Retail,71302,12/20/2022
CUST00112,David,Brown,Male,1/13/1961,Cairo,Cairo,Software Engineer,Premium,121482,4/13/2025
CUST00113,Justin,Johnson,Male,10/13/1985,Houston,Texas,Doctor,Premium,281576,8/3/2022
CUST00114,Michael,Walker,Male,6/25/1978,Rome,Lazio,Graphic Designer,Retail,84595,3/26/2020
CUST00115,Ronald,White,Male,8/30/1965,San Francisco,California,Project Manager,Premium,87082,6/27/2018
CUST00116,Nicole,Rodriguez,Female,12/31/2006,Sydney,New South Wales,Consultant,SME,141796,1/1/2023
CUST00117,Lisa,White,Female,7/5/2002,Amsterdam,North Holland,Data Analyst,Premium,80114,10/16/2025
CUST00118,Brandon,Smith,Male,11/27/2002,Manila,Metro Manila,Bank Teller,Retail,31650,7/29/2019
CUST00119,Jonathan,Brown,Male,11/5/1986,Paris,Ile-de-France,Software Engineer,Premium,146870,3/29/2020
CUST00120,Emma,Nelson,Female,9/27/1964,Bangkok,Bangkok,Graphic Designer,Retail,82400,7/19/2025
CUST00121,Jerry,King,Male,6/13/1982,Vancouver,British Columbia,Marketing Specialist,Retail,69079,1/20/2021
CUST00122,Rebecca,Adams,Female,4/28/1972,Abu Dhabi,Abu Dhabi,Civil Engineer,Premium,89977,10/7/2019
CUST00123,Nicholas,Brown,Male,3/8/1965,Seattle,Washington,Lawyer,Premium,126465,7/2/2025
CUST00124,Pamela,Taylor,Female,8/6/1984,Miami,Florida,Student,Retail,2546,9/5/2022
CUST00125,Justin,Clark,Male,8/1/1976,San Francisco,California,Chef,Retail,52916,2/10/2019
CUST00126,Karen,Johnson,Female,9/29/1975,Rome,Lazio,Nurse,Retail,60017,1/28/2024
CUST00127,Ronald,Lee,Male,7/2/1985,Bogota,Bogota,Retail Manager,Retail,52421,7/6/2019
CUST00128,Jacob,Williams,Male,9/5/1966,Los Angeles,California,HR Specialist,Retail,81047,8/26/2020
CUST00129,Larry,Lopez,Male,4/3/1996,Atlanta,Georgia,Retail Manager,Retail,45660,7/25/2025
CUST00130,Stephanie,Thompson,Female,3/19/2005,Istanbul,Istanbul,Operations Manager,Premium,160332,7/2/2018
CUST00131,Samantha,Sanchez,Female,2/3/1964,San Francisco,California,Civil Engineer,Premium,110578,1/22/2020
CUST00132,Rachel,Wright,Female,10/16/1971,Bangkok,Bangkok,Mechanic,Retail,54446,8/23/2023
CUST00133,Gary,Walker,Male,3/26/1994,Mexico City,CDMX,Chef,Retail,50672,2/10/2023
CUST00134,Tyler,Nguyen,Male,7/7/1967,Sydney,New South Wales,Data Analyst,Premium,109294,1/22/2024
CUST00135,Maria,Lee,Female,12/9/1964,Amsterdam,North Holland,Administrative Assistant,Retail,78164,3/29/2024
CUST00136,Timothy,Harris,Male,4/12/2003,Abu Dhabi,Abu Dhabi,Customer Support,Retail,67923,8/27/2021
CUST00137,Tyler,Perez,Male,11/18/2007,Amsterdam,North Holland,Doctor,Premium,132486,12/1/2021
CUST00138,Joshua,Campbell,Male,9/12/1965,London,England,Operations Manager,Premium,157623,4/27/2020
CUST00139,Stephanie,Nelson,Female,3/15/1972,Montreal,Quebec,HR Specialist,Retail,81115,10/8/2021
CUST00140,Kimberly,Williams,Female,3/28/1974,Delhi,Delhi,Data Analyst,Premium,151072,5/26/2025
CUST00141,Gregory,Perez,Male,7/1/2003,London,England,Data Analyst,Premium,80713,12/7/2021
CUST00142,Steven,Garcia,Male,10/5/1992,Santiago,Santiago Metropolitan,Sales Associate,Retail,88461,9/9/2025
CUST00143,Jason,Flores,Male,1/3/1988,Toronto,Ontario,Project Manager,Premium,123216,4/10/2025
CUST00144,Janet,Williams,Female,7/5/1998,Dublin,Leinster,Software Engineer,Premium,148022,8/12/2025
CUST00145,Kathleen,Adams,Female,8/4/1989,Moscow,Moscow,Financial Analyst,Premium,123086,4/30/2020
CUST00146,George,Hall,Male,7/26/1976,Madrid,Madrid,Project Manager,Premium,111588,9/10/2024
CUST00147,Olivia,Ramirez,Female,2/1/1956,Dublin,Leinster,Sales Associate,Retail,75499,2/26/2019
CUST00148,Nancy,Campbell,Female,1/27/1978,Istanbul,Istanbul,Civil Engineer,Premium,116891,6/21/2023
CUST00149,Carolyn,Young,Female,11/26/1992,Cairo,Cairo,Lawyer,Premium,168620,9/8/2023
CUST00150,Anna,Brown,Female,10/9/1966,Berlin,Berlin,Chef,Retail,56000,8/6/2025
CUST00151,Charles,Harris,Male,4/28/1992,Bangkok,Bangkok,Lawyer,Premium,228900,7/8/2021
CUST00152,Steven,Smith,Male,12/1/1955,Tokyo,Tokyo,Student,Retail,19090,5/19/2019
CUST00153,Susan,Anderson,Female,6/2/2004,Sao Paulo,Sao Paulo,Operations Manager,Premium,108674,3/2/2020
CUST00154,Maria,Johnson,Female,10/29/1965,Manila,Metro Manila,Marketing Specialist,Retail,89517,3/6/2021
CUST00155,Deborah,Rodriguez,Female,8/8/1999,Toronto,Ontario,Sales Associate,Retail,56869,5/22/2025
CUST00156,Gregory,Adams,Male,6/2/1961,Dubai,Dubai,HR Specialist,Retail,81948,10/21/2024
CUST00157,Melissa,Lewis,Female,11/22/1968,Paris,Ile-de-France,Nurse,Retail,66039,1/15/2019
CUST00158,Patricia,Moore,Female,8/27/1962,Madrid,Madrid,Accountant,Retail,64830,11/30/2021
CUST00159,Justin,Roberts,Male,8/30/1976,Nairobi,Nairobi County,Consultant,SME,219579,7/22/2018
CUST00160,Kevin,Nelson,Male,2/14/1958,Miami,Florida,Mechanic,Retail,56314,9/30/2025
CUST00161,Kathleen,Hill,Female,10/13/1959,Osaka,Osaka,Marketing Specialist,Retail,44989,4/9/2019
CUST00162,Gary,Nguyen,Male,12/16/1990,Cape Town,Western Cape,Teacher,Retail,31851,1/23/2023
CUST00163,Dennis,Lee,Male,3/25/1970,Beijing,Beijing,Administrative Assistant,Retail,61697,6/17/2021
CUST00164,Sharon,Taylor,Female,3/11/1984,Osaka,Osaka,Doctor,Premium,209405,12/7/2019
CUST00165,Patricia,Lee,Female,4/14/2006,Jakarta,Jakarta,Graphic Designer,Retail,31452,10/15/2019
CUST00166,Carol,Harris,Female,3/19/1991,Cape Town,Western Cape,Data Analyst,Premium,137914,12/1/2020
CUST00167,Sophia,Sanchez,Female,7/15/1978,Chicago,Illinois,Administrative Assistant,Retail,55271,5/3/2024
CUST00168,Brandon,Johnson,Male,12/6/1990,Mexico City,CDMX,Retail Manager,Retail,34890,8/9/2018
CUST00169,Ashley,Martinez,Female,9/3/1991,Paris,Ile-de-France,Teacher,Retail,64050,10/16/2021
CUST00170,Susan,Allen,Female,1/3/1969,San Francisco,California,Business Analyst,Premium,144255,2/15/2023
CUST00171,Kimberly,Johnson,Female,4/30/1966,New York,New York,Administrative Assistant,Retail,64361,2/28/2019
CUST00172,Raymond,Flores,Male,11/29/1968,Bangkok,Bangkok,Retail Manager,Retail,40302,9/24/2024
CUST00173,Donald,Taylor,Male,11/1/1994,Delhi,Delhi,Student,Retail,12105,11/2/2020
CUST00174,Mary,Brown,Female,6/20/1995,Abu Dhabi,Abu Dhabi,Software Engineer,Premium,108924,7/4/2024
CUST00175,Shirley,Lewis,Female,7/17/1959,Osaka,Osaka,Doctor,Premium,165749,9/19/2019
CUST00176,Cynthia,Thomas,Female,11/12/2001,Singapore,Singapore,Consultant,SME,192822,6/15/2020
CUST00177,Jason,Lewis,Male,9/16/2005,Madrid,Madrid,HR Specialist,Retail,69950,6/7/2020
CUST00178,Eric,Flores,Male,3/10/1991,Auckland,Auckland,Data Analyst,Premium,106130,1/3/2026
CUST00179,Olivia,Walker,Female,8/11/1961,Atlanta,Georgia,Financial Analyst,Premium,123590,9/5/2022
CUST00180,Laura,Hall,Female,1/11/1972,Rome,Lazio,Sales Associate,Retail,64785,2/15/2023
CUST00181,Christine,Carter,Female,8/12/2005,Singapore,Singapore,Accountant,Retail,89379,4/14/2023
CUST00182,Kenneth,Johnson,Male,5/17/1976,Abu Dhabi,Abu Dhabi,Marketing Specialist,Retail,29333,1/24/2023
CUST00183,Thomas,Williams,Male,6/7/1978,Dubai,Dubai,Architect,Premium,142186,2/4/2021
CUST00184,Ronald,Garcia,Male,5/9/1984,Cape Town,Western Cape,Marketing Specialist,Retail,37414,12/29/2024
CUST00185,Deborah,Garcia,Female,4/15/1968,Nairobi,Nairobi County,Financial Analyst,Premium,176793,9/30/2020
CUST00186,Cynthia,Flores,Female,2/13/1987,Toronto,Ontario,Marketing Specialist,Retail,83634,1/16/2024
CUST00187,Karen,Lewis,Female,3/19/1992,Johannesburg,Gauteng,Nurse,Retail,50601,8/17/2018
CUST00188,Edward,Johnson,Male,9/7/1959,Seoul,Seoul,Architect,Premium,215620,3/3/2019
CUST00189,Timothy,Robinson,Male,10/30/1979,Rio de Janeiro,Rio de Janeiro,Electrician,Retail,86101,9/14/2025
CUST00190,Patricia,King,Female,1/29/1988,Berlin,Berlin,Student,Retail,5743,8/18/2019
CUST00191,Carol,Green,Female,5/19/1966,Berlin,Berlin,Sales Associate,Retail,29117,3/27/2019
CUST00192,Anthony,Brown,Male,11/20/1982,Montreal,Quebec,Entrepreneur,SME,118890,11/14/2025
CUST00193,Matthew,Hernandez,Male,7/27/1984,Istanbul,Istanbul,Chef,Retail,43481,12/6/2021
CUST00194,Ronald,Rodriguez,Male,12/17/1986,Singapore,Singapore,Student,Retail,7886,11/4/2019
CUST00195,Karen,Williams,Female,7/13/1971,Beijing,Beijing,Bank Teller,Retail,55687,4/5/2025
CUST00196,Sandra,Roberts,Female,12/30/1963,San Francisco,California,Financial Analyst,Premium,112971,10/1/2024
CUST00197,Helen,Allen,Female,11/9/1959,Beijing,Beijing,Teacher,Retail,89287,2/20/2022
CUST00198,Laura,White,Female,7/18/1996,Hong Kong,Hong Kong,Nurse,Retail,89929,8/25/2019
CUST00199,Maria,Perez,Female,2/14/1974,Auckland,Auckland,Consultant,SME,159779,4/4/2024
CUST00200,Mark,Hill,Male,10/27/1989,Nairobi,Nairobi County,Operations Manager,Premium,136456,10/26/2020
CUST00201,Angela,Lopez,Female,9/11/2007,Beijing,Beijing,Administrative Assistant,Retail,41650,3/21/2020
CUST00202,Brandon,Lee,Male,12/21/1969,Houston,Texas,Pharmacist,Premium,144425,3/24/2019
CUST00203,Angela,Perez,Female,10/30/1963,Miami,Florida,Sales Associate,Retail,61370,8/30/2023
CUST00204,Michael,Allen,Male,2/21/1965,Sydney,New South Wales,Retail Manager,Retail,53708,6/8/2018
CUST00205,Jessica,Sanchez,Female,6/26/1956,Lagos,Lagos,Mechanic,Retail,34900,7/18/2023
CUST00206,Kathleen,Wright,Female,5/15/1967,Seattle,Washington,Project Manager,Premium,177974,1/15/2022
CUST00207,Anna,Rodriguez,Female,10/26/1959,Mumbai,Maharashtra,Driver,Retail,60267,8/17/2019
CUST00208,Timothy,Green,Male,8/3/1961,Lagos,Lagos,Marketing Specialist,Retail,76607,12/30/2019
CUST00209,Sarah,Davis,Female,4/7/1998,Cape Town,Western Cape,Driver,Retail,46735,12/4/2018
CUST00210,Shirley,Clark,Female,5/5/1989,Dubai,Dubai,Project Manager,Premium,84620,1/2/2023
CUST00211,Donald,Gonzalez,Male,7/17/1972,Dubai,Dubai,Marketing Specialist,Retail,42910,6/27/2020
CUST00212,Nicholas,Torres,Male,11/20/1960,Seattle,Washington,Accountant,Retail,29503,12/24/2019
CUST00213,George,Jackson,Male,1/9/1999,Tokyo,Tokyo,Software Engineer,Premium,159965,11/25/2020
CUST00214,Larry,Roberts,Male,12/14/2002,Shanghai,Shanghai,Researcher,Retail,54548,7/11/2021
CUST00215,Janet,Lewis,Female,8/21/1998,Manila,Metro Manila,Entrepreneur,SME,80160,4/28/2018
CUST00216,Gary,Perez,Male,6/27/1992,London,England,Doctor,Premium,245082,2/22/2025
CUST00217,Ryan,Clark,Male,10/17/1978,Seattle,Washington,Chef,Retail,40275,2/28/2022
CUST00218,Rachel,Roberts,Female,6/17/1996,Beijing,Beijing,Student,Retail,15681,12/13/2019
CUST00219,Melissa,Johnson,Female,6/9/1958,London,England,Researcher,Retail,70382,11/19/2025
CUST00220,Robert,Walker,Male,3/17/1998,Singapore,Singapore,Consultant,SME,245583,8/4/2021
CUST00221,Stephanie,Harris,Female,1/10/1993,Singapore,Singapore,Pharmacist,Premium,90693,10/12/2024
CUST00222,Edward,Ramirez,Male,7/23/2003,Osaka,Osaka,Researcher,Retail,59440,9/22/2021
CUST00223,Elizabeth,Hill,Female,7/6/1956,London,England,Civil Engineer,Premium,131330,2/20/2024
CUST00224,Kimberly,Walker,Female,8/18/1990,Berlin,Berlin,Graphic Designer,Retail,60529,11/28/2024
CUST00225,Brandon,Brown,Male,10/15/1962,Jakarta,Jakarta,Marketing Specialist,Retail,32585,2/10/2019
CUST00226,Sharon,White,Female,8/8/2000,Johannesburg,Gauteng,Software Engineer,Premium,110579,6/1/2020
CUST00227,Jessica,Flores,Female,8/13/1991,Toronto,Ontario,Bank Teller,Retail,88242,8/30/2023
CUST00228,Scott,Williams,Male,5/18/1959,Toronto,Ontario,Civil Engineer,Premium,131742,2/20/2023
CUST00229,Mark,Scott,Male,12/15/1955,Bogota,Bogota,Project Manager,Premium,147528,5/24/2020
CUST00230,Jennifer,Lewis,Female,4/28/1991,Vancouver,British Columbia,Chef,Retail,67960,7/19/2025
CUST00231,Brian,Gonzalez,Male,12/2/2006,San Francisco,California,Driver,Retail,54414,5/10/2026
CUST00232,Rachel,Sanchez,Female,3/9/1957,Berlin,Berlin,Civil Engineer,Premium,164598,4/11/2022
CUST00233,Linda,Young,Female,2/14/1987,Istanbul,Istanbul,Financial Analyst,Premium,97526,1/30/2021
CUST00234,Samuel,Davis,Male,3/19/1997,Bogota,Bogota,Marketing Specialist,Retail,68988,2/23/2019
CUST00235,Anthony,Davis,Male,10/18/1966,Bogota,Bogota,Administrative Assistant,Retail,43747,6/29/2023
CUST00236,Carol,Moore,Female,11/24/1970,Cairo,Cairo,Driver,Retail,28691,10/10/2023
CUST00237,David,Baker,Male,12/27/1997,Shanghai,Shanghai,Sales Associate,Retail,60750,7/7/2019
CUST00238,Joshua,Scott,Male,8/1/1967,Atlanta,Georgia,Software Engineer,Premium,160617,6/19/2026
CUST00239,Helen,Lee,Female,7/25/1979,Johannesburg,Gauteng,Lawyer,Premium,148950,1/20/2026
CUST00240,Brian,Carter,Male,9/29/1998,Jakarta,Jakarta,Driver,Retail,76594,12/24/2025
CUST00241,Debra,Campbell,Female,8/13/1975,Miami,Florida,Graphic Designer,Retail,80930,1/23/2020
CUST00242,Jacob,Hall,Male,2/16/1978,Toronto,Ontario,Project Manager,Premium,151856,5/21/2023
CUST00243,Olivia,Sanchez,Female,4/5/2002,Osaka,Osaka,Customer Support,Retail,52373,5/29/2023
CUST00244,Justin,Lee,Male,6/29/2000,Vancouver,British Columbia,Graphic Designer,Retail,69812,11/5/2025
CUST00245,Michelle,Sanchez,Female,12/16/1994,Manila,Metro Manila,Doctor,Premium,225829,1/21/2024
CUST00246,Brian,Gonzalez,Male,8/11/1963,New York,New York,Lawyer,Premium,159820,6/27/2026
CUST00247,Kimberly,Taylor,Female,6/17/1993,Shanghai,Shanghai,Accountant,Retail,83999,1/31/2019
